type,"filter"
name,"Canon Full Spectrum B"
channel,"B"
wavelength,"408,410,412,414,416,418,420,422,424,426,428,430,432,434,436,438,440,442,444,446,448,450,452,454,456,458,460,462,464,466,468,470,472,474,476,478,480,482,484,486,488,490,492,494,496,498,500,502,504,506,508,510,512,514,516,518,520,522,524,526,528,530,532,534,536,538,540,542,544,546,548,550,552,554,556,558,560,562,564,566,568,570,572,574,576,578,580,582,584,586,588,590,592,594,596,598,600,602,604,606,608,610,612,614,616,618,620,622,624,626,628,630,632,634,636,638,640,642,644,646,648,650,652,654,656,658,660,662,664,666,668,670,672,674,676,678,680,682,684,686,688,690,692"
transmission,"0.007,0.014,0.039,0.069,0.095,0.125,0.16,0.2,0.231,0.245,0.258,0.269,0.278,0.286,0.294,0.301,0.309,0.316,0.322,0.325,0.328,0.329,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.329,0.328,0.327,0.327,0.323,0.319,0.315,0.308,0.301,0.292,0.282,0.271,0.261,0.251,0.24,0.23,0.219,0.207,0.196,0.186,0.17,0.155,0.143,0.132,0.121,0.11,0.1,0.089,0.078,0.066,0.06,0.055,0.051,0.046,0.042,0.038,0.034,0.032,0.03,0.029,0.027,0.025,0.024,0.022,0.021,0.019,0.018,0.017,0.015,0.014,0.013,0.013,0.012,0.012,0.012,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.01,0.01,0.009,0.009,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.006,0.006,0.006,0.007,0.007,0.007,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.008,0.008,0.008,0.008,0.008,0.007,0.006,0.006,0.005,0.005,0.004,0.004,0.003,0.003,0.002"
