type,"filter"
name,"Canon EOS 600D R"
channel,"R"
reference,"https://www.gujinwei.org/research/camspec/db.html"
wavelength,"400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720"
transmission,"0.0018383,0.0034546,0.0065563,0.0064237,0.003663,0.0032176,0.0045901,0.0075219,0.015409,0.022585,0.033511,0.053847,0.066262,0.082616,0.10166,0.15313,0.2023,0.29541,0.4398,0.53074,0.51692,0.50521,0.38884,0.34276,0.26434,0.22089,0.1637,0.13044,0.072591,0.021389,0.003813,0.00089247,0.00023267"
