type,"filter"
name,"Canon Full Spectrum G"
channel,"G"
wavelength,"414,416,418,420,422,424,426,428,430,432,434,436,438,440,442,444,446,448,450,452,454,456,458,460,462,464,466,468,470,472,474,476,478,480,482,484,486,488,490,492,494,496,498,500,502,504,506,508,510,512,514,516,518,520,522,524,526,528,530,532,534,536,538,540,542,544,546,548,550,552,554,556,558,560,562,564,566,568,570,572,574,576,578,580,582,584,586,588,590,592,594,596,598,600,602,604,606,608,610,612,614,616,618,620,622,624,626,628,630,632,634,636,638,640,642,644,646,648,650,652,654,656,658,660,662,664,666,668,670,672,674,676,678,680,682,684,686,688,690,692"
transmission,"0.005,0.007,0.009,0.01,0.012,0.014,0.015,0.016,0.018,0.019,0.02,0.022,0.023,0.025,0.026,0.028,0.029,0.029,0.029,0.03,0.031,0.033,0.035,0.037,0.042,0.049,0.055,0.067,0.083,0.098,0.115,0.133,0.152,0.17,0.185,0.199,0.214,0.227,0.24,0.252,0.264,0.276,0.288,0.301,0.314,0.325,0.333,0.342,0.348,0.355,0.361,0.363,0.366,0.368,0.369,0.369,0.369,0.369,0.368,0.364,0.359,0.354,0.349,0.343,0.338,0.331,0.325,0.319,0.314,0.31,0.307,0.303,0.298,0.292,0.287,0.281,0.274,0.267,0.259,0.249,0.24,0.231,0.221,0.211,0.201,0.191,0.181,0.171,0.16,0.15,0.14,0.13,0.12,0.109,0.097,0.085,0.077,0.069,0.061,0.054,0.048,0.043,0.037,0.035,0.033,0.031,0.028,0.026,0.026,0.025,0.024,0.023,0.022,0.021,0.021,0.02,0.019,0.019,0.018,0.018,0.017,0.017,0.017,0.017,0.017,0.017,0.018,0.018,0.018,0.017,0.017,0.017,0.016,0.014,0.013,0.011,0.01,0.009,0.008,0.006"
