type,"filter"
name,"Canon EOS 600D G"
channel,"G"
reference,"https://www.gujinwei.org/research/camspec/db.html"
wavelength,"400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720"
transmission,"0.0027522,0.0063568,0.025923,0.055392,0.079072,0.098383,0.13411,0.28424,0.53216,0.67504,0.78346,0.91032,0.89359,1,0.88185,0.85526,0.76181,0.71016,0.56299,0.44008,0.27856,0.16213,0.078769,0.052859,0.035122,0.026057,0.018983,0.01922,0.014806,0.005949,0.0013347,0.00034954,0.00012156"
