type,"filter"
name,"Canon EOS 600D B"
channel,"B"
reference,"https://www.gujinwei.org/research/camspec/db.html"
wavelength,"400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720"
transmission,"0.010963,0.047664,0.25927,0.6278,0.69721,0.78211,0.8035,0.78122,0.75824,0.64609,0.513,0.38666,0.22351,0.15669,0.10477,0.078029,0.050767,0.040953,0.034064,0.027857,0.019411,0.013821,0.0088981,0.0081423,0.007593,0.0084223,0.008274,0.0083911,0.0053867,0.0018156,0.00036101,0.00011979,7.6506e-05"
