type,"filter"
name,"Canon Full Spectrum R"
channel,"R"
wavelength,"432,434,436,438,440,442,444,446,448,450,452,454,456,458,460,462,464,466,468,470,472,474,476,478,480,482,484,486,488,490,492,494,496,498,500,502,504,506,508,510,512,514,516,518,520,522,524,526,528,530,532,534,536,538,540,542,544,546,548,550,552,554,556,558,560,562,564,566,568,570,572,574,576,578,580,582,584,586,588,590,592,594,596,598,600,602,604,606,608,610,612,614,616,618,620,622,624,626,628,630,632,634,636,638,640,642,644,646,648,650,652,654,656,658,660,662,664,666,668,670,672,674,676,678,680,682,684,686,688,690,692,694,696,698"
transmission,"0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.005,0.005,0.006,0.007,0.007,0.008,0.008,0.009,0.01,0.01,0.01,0.011,0.011,0.011,0.012,0.012,0.013,0.015,0.016,0.018,0.02,0.021,0.025,0.029,0.032,0.036,0.04,0.045,0.051,0.056,0.062,0.064,0.065,0.067,0.067,0.065,0.062,0.06,0.058,0.057,0.056,0.056,0.057,0.061,0.066,0.07,0.081,0.095,0.108,0.121,0.135,0.149,0.164,0.179,0.194,0.21,0.225,0.241,0.252,0.262,0.271,0.279,0.287,0.294,0.299,0.301,0.303,0.305,0.304,0.302,0.301,0.3,0.298,0.297,0.296,0.295,0.294,0.294,0.294,0.294,0.294,0.293,0.29,0.288,0.286,0.282,0.278,0.274,0.27,0.266,0.262,0.256,0.251,0.247,0.243,0.239,0.235,0.23,0.224,0.217,0.21,0.202,0.187,0.165,0.143,0.121,0.096,0.075,0.056,0.041,0.029,0.022,0.016,0.013,0.01"
