type,"filter"
name,"Antlia ALP-T"
channel,"Dual band"
wavelength,"351.281362,491.025426,493.589524,495.287513,496.475046,498.076376,498.112347,498.583128,498.604273,500.345783,500.462161,502.258236,502.936474,503.658184,504.931262,504.946817,505.867234,507.264717,513.674964,644.016645,647.435443,649.182090,650.078689,650.651307,650.664918,651.190579,651.205210,652.244721,652.752202,652.773347,654.234786,654.297087,654.678145,654.687582,656.417344,657.811460,657.836251,658.503656,659.122939,660.058183,661.984570,669.230282,799.999313"
transmission,"0.003220,0.002112,0.002121,0.011327,0.062500,0.560388,0.476216,0.789588,0.740109,0.909976,0.920152,0.679837,0.507758,0.233957,0.084955,0.048556,0.017279,0.002170,0.002192,0.002658,0.002670,0.015516,0.039975,0.115049,0.083200,0.268153,0.233916,0.631462,0.858955,0.809476,0.927208,0.946425,0.597249,0.575166,0.772522,0.340292,0.282281,0.135552,0.101430,0.035461,0.008548,0.002748,0.003215"
