type,"filter"
name,"IDAS LPS D2 Light Pollution"
channel,"PAN"
wavelength,"394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474,475,476,477,478,479,480,481,482,483,484,485,486,487,488,489,490,491,492,493,494,495,496,497,498,499,500,501,502,503,504,505,506,507,508,509,510,511,512,513,514,515,516,517,518,519,520,521,522,523,524,525,526,527,528,529,530,531,532,533,534,535,536,537,538,539,540,541,542,543,544,545,546,547,548,549,550,551,552,553,554,555,556,557,558,559,560,561,562,563,564,565,566,567,568,569,570,571,572,573,574,575,576,577,578,579,580,581,582,583,584,585,586,587,588,589,590,591,592,593,594,595,596,597,598,599,600,601,602,603,604,605,606,607,608,609,610,611,612,613,614,615,616,617,618,619,620,621,622,623,624,625,626,627,628,629,630,631,632,633,634,635,636,637,638,639,640,641,642,643,644,645,646,647,648,649,650,651,652,653,654,655,656,657,658,659,660,661,662,663,664,665,666,667,668,669,670,671,672,673,674,675,676,677,678,679,680,681,682,683,684,685,686,687,688,689,690,691,692,693,694,695,696,697,698,699,700,701,702,703,704,705,706,707,708,709,710,711,712,713,714,715,716,717,718,719,720,721,722,723,724,725,726,727,728,729,730,731,732,733,734,735,736,737,738,739,740,741,742,743,744"
transmission,"0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.009,0.01,0.012,0.013,0.036,0.064,0.151,0.238,0.345,0.517,0.689,0.781,0.785,0.789,0.792,0.808,0.826,0.844,0.849,0.855,0.86,0.865,0.87,0.875,0.88,0.878,0.873,0.868,0.871,0.875,0.877,0.868,0.859,0.857,0.863,0.87,0.876,0.889,0.903,0.899,0.893,0.886,0.85,0.697,0.534,0.355,0.175,0.086,0.054,0.022,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.016,0.014,0.012,0.011,0.009,0.007,0.008,0.01,0.011,0.012,0.014,0.015,0.016,0.025,0.039,0.052,0.094,0.143,0.31,0.477,0.629,0.738,0.848,0.912,0.933,0.954,0.961,0.962,0.964,0.965,0.967,0.968,0.968,0.963,0.959,0.954,0.95,0.947,0.943,0.946,0.949,0.953,0.956,0.954,0.953,0.951,0.95,0.952,0.956,0.961,0.965,0.969,0.969,0.968,0.968,0.967,0.966,0.965,0.964,0.962,0.961,0.959,0.961,0.963,0.965,0.966,0.968,0.968,0.962,0.957,0.952,0.947,0.941,0.934,0.927,0.92,0.914,0.909,0.912,0.914,0.917,0.92,0.922,0.925,0.922,0.917,0.912,0.908,0.908,0.907,0.906,0.905,0.886,0.85,0.815,0.7,0.564,0.427,0.299,0.244,0.189,0.133,0.093,0.074,0.054,0.045,0.04,0.036,0.031,0.027,0.026,0.026,0.025,0.024,0.022,0.019,0.016,0.013,0.011,0.01,0.009,0.009,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.008,0.01,0.012,0.014,0.016,0.016,0.015,0.013,0.012,0.01,0.008,0.007,0.008,0.01,0.011,0.013,0.015,0.016,0.016,0.015,0.014,0.013,0.011,0.01,0.01,0.009,0.009,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.008,0.008,0.009,0.009,0.009,0.01,0.01,0.014,0.017,0.021,0.025,0.028,0.038,0.057,0.075,0.14,0.227,0.315,0.402,0.546,0.689,0.816,0.886,0.933,0.943,0.953,0.963,0.965,0.962,0.96,0.958,0.956,0.957,0.957,0.958,0.959,0.957,0.952,0.948,0.943,0.941,0.94,0.938,0.937,0.936,0.94,0.944,0.948,0.949,0.948,0.948,0.947,0.946,0.946,0.949,0.952,0.955,0.958,0.95,0.929,0.908,0.826,0.717,0.608,0.524,0.443,0.362,0.291,0.246,0.202,0.158,0.114,0.09,0.077,0.064,0.051,0.046,0.041,0.035,0.03,0.026,0.025,0.023,0.021,0.019,0.017,0.015,0.014,0.013,0.012,0.011,0.011,0.01,0.009,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007"
