type,"filter"
name,"IDAS LPS P2 Light Pollution"
channel,"PAN"
wavelength,"386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474,475,476,477,478,479,480,481,482,483,484,485,486,487,488,489,490,491,492,493,494,495,496,497,498,499,500,501,502,503,504,505,506,507,508,509,510,511,512,513,514,515,516,517,518,519,520,521,522,523,524,525,526,527,528,529,530,531,532,533,534,535,536,537,538,539,540,541,542,543,544,545,546,547,548,549,550,551,552,553,554,555,556,557,558,559,560,561,562,563,564,565,566,567,568,569,570,571,572,573,574,575,576,577,578,579,580,581,582,583,584,585,586,587,588,589,590,591,592,593,594,595,596,597,598,599,600,601,602,603,604,605,606,607,608,609,610,611,612,613,614,615,616,617,618,619,620,621,622,623,624,625,626,627,628,629,630,631,632,633,634,635,636,637,638,639,640,641,642,643,644,645,646,647,648,649,650,651,652,653,654,655,656,657,658,659,660,661,662,663,664,665,666,667,668,669,670,671,672,673,674,675,676,677,678,679,680,681,682,683,684,685,686,687,688,689,690,691,692,693,694,695,696,697,698,699,700,701,702,703,704,705,706,707,708,709,710,711,712,713,714,715,716,717,718,719,720,721,722,723,724,725,726,727,728,729"
transmission,"0.004,0.005,0.005,0.006,0.006,0.007,0.007,0.008,0.01,0.011,0.012,0.011,0.01,0.01,0.009,0.008,0.008,0.007,0.006,0.006,0.005,0.005,0.005,0.008,0.014,0.054,0.095,0.164,0.307,0.493,0.686,0.831,0.89,0.921,0.912,0.904,0.919,0.934,0.95,0.909,0.84,0.737,0.591,0.31,0.152,0.077,0.029,0.015,0.012,0.012,0.012,0.012,0.012,0.015,0.027,0.039,0.084,0.169,0.274,0.446,0.617,0.789,0.881,0.946,0.949,0.953,0.964,0.965,0.964,0.964,0.968,0.973,0.975,0.972,0.97,0.967,0.972,0.976,0.98,0.982,0.984,0.986,0.987,0.986,0.984,0.981,0.977,0.972,0.974,0.977,0.98,0.983,0.986,0.987,0.985,0.984,0.982,0.98,0.979,0.978,0.98,0.982,0.983,0.985,0.983,0.979,0.976,0.973,0.97,0.972,0.976,0.979,0.977,0.974,0.97,0.965,0.964,0.965,0.966,0.969,0.976,0.979,0.977,0.976,0.978,0.982,0.983,0.982,0.982,0.977,0.972,0.966,0.965,0.969,0.972,0.976,0.98,0.978,0.977,0.976,0.976,0.977,0.979,0.98,0.979,0.97,0.958,0.862,0.736,0.555,0.386,0.288,0.19,0.091,0.053,0.03,0.026,0.021,0.018,0.016,0.015,0.014,0.012,0.013,0.014,0.015,0.016,0.02,0.027,0.035,0.059,0.089,0.165,0.284,0.403,0.523,0.643,0.762,0.882,0.92,0.937,0.926,0.916,0.905,0.886,0.866,0.799,0.706,0.614,0.498,0.379,0.26,0.172,0.112,0.086,0.066,0.052,0.041,0.035,0.03,0.027,0.024,0.021,0.019,0.018,0.017,0.016,0.017,0.018,0.018,0.021,0.024,0.027,0.03,0.044,0.059,0.082,0.166,0.25,0.352,0.486,0.613,0.703,0.792,0.838,0.879,0.861,0.817,0.726,0.584,0.443,0.338,0.249,0.174,0.115,0.082,0.064,0.057,0.052,0.048,0.049,0.05,0.052,0.057,0.065,0.073,0.092,0.115,0.158,0.22,0.283,0.345,0.41,0.518,0.625,0.723,0.795,0.867,0.92,0.954,0.967,0.975,0.97,0.965,0.959,0.953,0.946,0.94,0.934,0.931,0.933,0.934,0.938,0.943,0.948,0.953,0.957,0.954,0.952,0.949,0.945,0.941,0.937,0.933,0.929,0.932,0.936,0.94,0.944,0.948,0.953,0.957,0.961,0.964,0.966,0.967,0.965,0.962,0.959,0.955,0.951,0.946,0.941,0.93,0.919,0.858,0.793,0.728,0.638,0.531,0.423,0.34,0.263,0.187,0.11,0.079,0.053,0.038,0.029,0.023,0.019,0.015,0.012,0.011,0.01,0.01,0.009,0.008,0.007,0.007,0.006,0.006,0.005,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.002,0.002,0.002"
