type,"filter"
name,"Antlia V Pro Series B"
channel,"B"
wavelength,"420,422,424,426,428,430,432,434,436,438,440,442,444,446,448,450,452,454,456,458,460,462,464,466,468,470,472,474,476,478,480,482,484,486,488,490,492,494,496,498,500,502,504,506,508,510,512,514,516,518,520,522,524"
transmission,"0.002,0.006,0.021,0.088,0.237,0.418,0.611,0.795,0.925,0.964,0.968,0.964,0.962,0.957,0.954,0.957,0.966,0.97,0.971,0.973,0.978,0.977,0.975,0.969,0.959,0.956,0.955,0.961,0.966,0.968,0.964,0.957,0.965,0.965,0.962,0.956,0.966,0.966,0.963,0.956,0.966,0.968,0.838,0.653,0.431,0.201,0.095,0.05,0.023,0.012,0.007,0.004,0.002"
