type,"filter"
name,"Optolong L-Quad Enhance"
channel,"PAN"
wavelength,"371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474,475,476,477,478,479,480,481,482,483,484,485,486,487,488,489,490,491,492,493,494,495,496,497,498,499,500,501,502,503,504,505,506,507,508,509,510,511,512,513,514,515,516,517,518,519,520,521,522,523,524,525,526,527,528,529,530,531,532,533,534,535,536,537,538,539,540,541,542,543,544,545,546,547,548,549,550,551,552,553,554,555,556,557,558,559,560,561,562,563,564,565,566,567,568,569,570,571,572,573,574,575,576,577,578,579,580,581,582,583,584,585,586,587,588,589,590,591,592,593,594,595,596,597,598,599,600,601,602,603,604,605,606,607,608,609,610,611,612,613,614,615,616,617,618,619,620,621,622,623,624,625,626,627,628,629,630,631,632,633,634,635,636,637,638,639,640,641,642,643,644,645,646,647,648,649,650,651,652,653,654,655,656,657,658,659,660,661,662,663,664,665,666,667,668,669,670,671,672,673,674,675,676,677,678,679,680,681,682,683,684,685,686,687,688,689,690,691,692,693,694,695,696,697,698,699,700,701,702,703,704,705,706,707,708,709,710,711,712,713,714,715,716,717,718,719,720,721,722,723,724,725,726,727,728,729,730,731,732,733,734,735,736,737,738,739,740,741,742,743,744,745,746,747,748,749,750,751,752,753,754,755,756,757,758,759,760,761,762,763,764,765,766,767,768,769,770,771,772,773,774,775"
transmission,"0.01,0.01,0.01,0.01,0.01,0.01,0.014,0.018,0.024,0.033,0.063,0.149,0.287,0.534,0.658,0.727,0.77,0.808,0.846,0.874,0.886,0.884,0.883,0.894,0.907,0.918,0.92,0.923,0.929,0.937,0.935,0.931,0.927,0.934,0.939,0.942,0.946,0.949,0.949,0.943,0.938,0.938,0.937,0.936,0.928,0.921,0.878,0.795,0.713,0.439,0.242,0.131,0.02,0.014,0.012,0.011,0.01,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.008,0.009,0.01,0.012,0.019,0.039,0.058,0.175,0.33,0.654,0.886,0.942,0.933,0.942,0.954,0.961,0.95,0.94,0.929,0.919,0.91,0.922,0.935,0.947,0.959,0.965,0.963,0.961,0.959,0.96,0.963,0.966,0.969,0.972,0.975,0.976,0.977,0.979,0.98,0.981,0.982,0.983,0.984,0.984,0.979,0.974,0.968,0.963,0.958,0.958,0.957,0.956,0.954,0.952,0.95,0.951,0.956,0.961,0.966,0.972,0.978,0.984,0.987,0.984,0.981,0.979,0.976,0.967,0.958,0.948,0.945,0.947,0.949,0.95,0.948,0.947,0.949,0.954,0.958,0.969,0.983,0.985,0.987,0.989,0.989,0.983,0.978,0.973,0.967,0.96,0.951,0.942,0.933,0.92,0.859,0.752,0.566,0.313,0.176,0.125,0.086,0.054,0.039,0.033,0.026,0.019,0.016,0.015,0.014,0.013,0.013,0.014,0.015,0.016,0.018,0.019,0.025,0.039,0.053,0.077,0.189,0.301,0.414,0.541,0.734,0.886,0.902,0.918,0.933,0.939,0.944,0.95,0.922,0.846,0.718,0.59,0.462,0.321,0.167,0.084,0.053,0.037,0.03,0.023,0.016,0.01,0.01,0.01,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.008,0.008,0.008,0.008,0.009,0.009,0.009,0.009,0.009,0.01,0.01,0.01,0.01,0.01,0.011,0.011,0.011,0.011,0.012,0.012,0.012,0.012,0.017,0.024,0.03,0.037,0.043,0.099,0.198,0.298,0.397,0.497,0.586,0.676,0.765,0.854,0.911,0.92,0.93,0.953,0.97,0.978,0.987,0.983,0.978,0.972,0.97,0.969,0.968,0.967,0.965,0.957,0.95,0.942,0.941,0.94,0.939,0.938,0.938,0.937,0.936,0.935,0.935,0.934,0.939,0.944,0.949,0.954,0.957,0.96,0.964,0.967,0.97,0.974,0.977,0.98,0.983,0.985,0.985,0.985,0.985,0.983,0.977,0.972,0.967,0.962,0.956,0.951,0.949,0.947,0.948,0.952,0.957,0.962,0.968,0.974,0.98,0.964,0.945,0.864,0.777,0.69,0.602,0.517,0.432,0.346,0.261,0.176,0.1,0.082,0.064,0.046,0.031,0.028,0.024,0.021,0.017,0.014,0.011,0.01,0.009,0.009,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01"
