type,"filter"
name,"SVBONY SV240"
channel,"unknown"
wavelength,"205.342819,214.23722,223.467259,232.697298,241.927337,251.493014,260.387415,269.617454,278.847493,288.077532,297.307571,306.53761,315.767648,324.997687,334.227726,343.457765,352.687804,361.917843,371.147882,380.377921,389.60796,398.837999,408.068038,417.298077,426.528116,435.758155,444.652556,454.55387,463.448272,472.153877,478.551972,478.551972,479.223247,479.391066,479.391066,479.810613,480.230161,480.859481,481.069255,481.069255,481.069255,481.348953,481.90835,481.90835,481.90835,481.90835,482.118123,482.188048,482.188048,482.747444,482.747444,482.747444,482.747444,485.684275,487.94983,494.284993,495.893257,501.627069,502.466164,502.885711,503.724805,505.96239,506.032315,506.242089,506.242089,506.661636,506.661636,506.801485,506.801485,507.081183,507.360881,507.360881,507.50073,507.640579,507.640579,507.920278,507.920278,507.920278,508.199976,508.759372,509.262829,510.437561,514.716943,523.863072,533.093111,542.32315,553.231378,562.461417,571.691456,580.921495,590.151534,599.381573,608.611611,617.84165,626.232595,635.462634,639.658106,640.497201,641.755842,643.014484,643.224258,643.294182,643.643805,643.853578,644.133277,644.189216,644.692673,645.252069,645.531767,645.531767,645.531767,645.811465,645.951315,646.091164,646.161088,646.370862,646.930258,647.629503,648.049051,648.21687,651.195655,651.218963,659.586599,662.313656,663.152751,663.782072,664.201619,664.621166,665.390336,665.670034,665.670034,665.949732,667.348223,667.348223,667.348223,667.627921,667.977544,668.187317,669.026412,669.865506,670.07528,670.285054,671.543695,672.103092,672.942186,673.851205,678.13658,686.46093,695.122249,703.908767,714.022852,723.903189,729.021665,738.671251,754.110589,763.00499,770.277142,774.122992,776.150803,776.850049,779.227483,779.227483,779.367332,779.786879,780.905672,781.744766,781.744766,783.143257,783.422955,783.562804,783.982352,783.982352,783.982352,783.982352,784.541748,784.821446,784.821446,785.240993,786.499635,786.499635,786.499635,786.499635,787.338729,787.338729,787.96805,790.695107,793.380209,802.628895,814.069881,822.673929,832.125396,842.359351,852.620278,861.598588,871.487916,880.310394,886.911271,889.708252,890.127799,892.225536,892.505234,892.505234,894.742819,895.581913,896.421008,897.260102,898.099197,898.518744,898.518744,898.728518,898.938291,898.938291,898.938291,899.497687,901.455574,902.014971,903.972858,904.811952,905.651047,907.329236,907.888632,910.056293,914.461538,918.657011,928.558325,936.098188,952.640336,966.485394,982.847736,992.413413,1002.146908,1011.376947,1020.606986,1029.837025,1039.067064,1048.297103,1057.527142,1066.757181,1075.98722,1085.217259,1093.981134,1100"
transmission,"0.00455,0.004529,0.004507,0.004485,0.004463,0.004235,0.004419,0.004397,0.004375,0.004353,0.00377,0.004309,0.004287,0.004265,0.004243,0.004221,0.004199,0.004177,0.004155,0.004133,0.004111,0.003902,0.004067,0.004045,0.004023,0.004001,0.003568,0.004161,0.003935,0.004813,0.016798,0.041295,0.09507,0.062177,0.202177,0.256113,0.275118,0.384787,0.318265,0.296862,0.169298,0.346376,0.516749,0.441986,0.416449,0.822697,0.599348,0.644887,0.549403,0.787765,0.862762,0.675782,0.492912,0.891264,0.950794,0.908236,0.875972,0.924564,0.902782,0.845506,0.858603,0.638605,0.753395,0.722985,0.473336,0.79507,0.694988,0.662712,0.594808,0.620247,0.550386,0.297122,0.399492,0.448676,0.337379,0.242176,0.499016,0.205191,0.268544,0.157931,0.096859,0.050824,0.006312,0.003791,0.003769,0.003747,0.002973,0.003699,0.003677,0.003655,0.003633,0.00333,0.003588,0.003566,0.003546,0.010863,0.036904,0.060189,0.099953,0.124735,0.146395,0.20133,0.250928,0.503315,0.399038,0.309771,0.288081,0.577111,0.626081,0.72779,0.349721,0.654367,0.442182,0.602838,0.700306,0.542463,0.752329,0.801241,0.849012,0.906358,0.93907,0.958704,0.96952,0.943495,0.844867,0.898716,0.751839,0.856609,0.609938,0.799657,0.562337,0.641785,0.431537,0.534936,0.272617,0.392632,0.333949,0.361995,0.302749,0.211825,0.177515,0.24577,0.14881,0.109304,0.075008,0.047609,0.019567,0.006028,0.004101,0.00571,0.010529,0.004546,0.005356,0.001224,0.003344,0.009795,0.024778,0.047473,0.085035,0.106266,0.217215,0.179599,0.145214,0.245637,0.270487,0.348232,0.311384,0.422335,0.502811,0.399733,0.596186,0.676091,0.472674,0.449045,0.719924,0.798003,0.577463,0.55075,0.857708,0.700057,0.776561,0.753138,0.885973,0.939088,0.907807,0.972591,0.982017,0.978472,0.989365,0.990942,0.983928,0.991352,0.987869,0.971067,0.976019,0.994104,0.979602,0.952884,0.931651,0.909044,0.877561,0.847722,0.802193,0.778561,0.710754,0.664292,0.640684,0.618457,0.500782,0.389013,0.448257,0.564434,0.529818,0.356535,0.319317,0.290892,0.251505,0.22171,0.189236,0.164172,0.138372,0.102781,0.048277,0.022883,0.005291,0.002221,0.000713,0.00068,0.002696,0.002673,0.002183,0.002628,0.002606,0.002584,0.002562,0.002353,0.002518,0.002496,0.002474,0.002452,0.002203,0"
