"type","filter"
"name","Baader Neodymuim Skyglow"
"channel","unknown"
"wavelength","307.401917,318.879381,330.361929,341.843244,353.322326,364.803564,376.284109,387.764886,394.545743,395.278746,398.286813,398.330299,398.348935,398.367572,398.386209,398.404846,398.423483,398.44212,398.824705,399.449923,399.46856,399.48731,399.505833,399.52447,399.542994,399.561744,399.580381,399.599081,399.617655,399.633897,399.636292,399.654928,399.673565,399.692673,399.710839,399.729476,399.748113,399.76675,399.785387,399.804023,399.82266,399.841297,400.661284,400.846446,401.141643,401.409724,408.537144,408.557339,410.089337,410.229886,415.598068,418.975295,419.346395,420.745782,420.800015,421.274281,431.774356,431.827537,431.828337,432.16137,432.305827,435.203268,436.224992,440.879491,440.896635,450.29683,455.007572,461.904961,463.557893,471.500399,471.573982,471.838152,480.129146,484.807086,485.314094,490.492564,491.040273,493.19029,497.269224,497.812423,498.352987,499.942486,501.017142,502.611689,505.623445,507.90862,508.748691,510.676591,513.689345,514.249534,515.765898,515.813572,521.557024,522.098199,522.559321,522.642819,522.694664,522.713301,523.060963,524.219262,525.565222,527.502328,529.926121,530.936101,534.765202,535.466344,535.738555,535.761569,537.205221,537.223857,537.242494,537.261131,537.279486,537.709122,538.052149,538.651978,538.670615,538.689252,538.702383,539.146279,540.160577,541.18617,544.519523,545.800773,555.088148,561.454956,562.190914,562.516071,563.955346,564.120254,564.157528,564.176165,564.660865,564.718187,565.821999,565.859272,566.122923,566.327312,566.438794,566.710865,566.978003,567.522613,567.636411,568.285878,569.41115,569.419339,569.441364,569.460001,569.478638,569.497275,569.515912,569.534549,569.553185,569.571822,571.167252,571.185889,571.223162,571.241799,571.726499,571.783786,574.02547,575.459662,575.478299,575.496273,575.514813,579.201438,586.972571,586.988119,587.123114,587.167901,588.098908,588.736821,593.010373,595.165332,595.211078,596.400957,597.178115,597.350687,598.120689,598.139326,598.154602,598.173493,598.194954,598.213873,598.621202,598.93224,599.070266,599.126176,599.276426,599.348802,600.538343,600.556895,600.575532,600.587646,600.736547,601.010534,602.303424,602.433374,604.072628,604.085618,604.541374,604.566788,604.819572,605.006166,605.049652,606.032324,606.714264,609.120759,610.147685,612.166679,612.893356,614.209168,614.69841,614.717295,615.538832,618.584509,626.281711,633.056638,641.21258,652.69197,661.578772,667.862693,673.618776,676.918373,682.254049,683.627582,684.218046,692.679984,694.55544,695.817894,696.456062,698.322757,698.342453,698.372385,698.917372,699.278814,699.290513,699.479641,701.021927,701.131772,701.150408,701.169045,701.187682,701.206319,701.224956,701.243593,701.26223,701.315204,702.2365,702.344863,702.363499,702.382136,702.41941,702.438047,702.475321,702.92257,702.978799,704.080916,705.143302,705.152536,705.161854,705.180491,705.199128,705.217765,705.236402,706.348684,706.498626,707.086817,707.41141,708.796468,709.01771,709.557615,710.118698,711.711593,712.256291,714.371467,719.096306,727.989611,739.479732,750.960046,762.438896,773.919288,785.40068,796.883612,808.363695,819.844394,831.323784,842.804022,854.285029,865.765112,877.24558,888.724508,900.202434,911.683827,923.164526,934.643762,946.120687,957.603543,969.085397,980.565711,992.045794,1003.524953,1015.002495,1026.485196,1037.966435,1049.447134,1060.92791,1072.407608,1083.887306,1095.365541,1106.844391,1118.32355,1129.803864,1141.283023,1152.762952,1164.242496,1175.720654,1187.198119,1195.543741"
"transmission","0.001335,0.003637,0.001833,0.001024,0.00202,0.001273,0.001087,0.000713,0.003108,0.019874,0.212844,0.318225,0.303171,0.288117,0.273062,0.258008,0.242953,0.227899,0.340379,0.678392,0.663337,0.648192,0.633229,0.618174,0.603211,0.588065,0.573011,0.557906,0.542902,0.698391,0.527847,0.512793,0.497738,0.482304,0.46763,0.452575,0.437521,0.422466,0.407412,0.392357,0.377303,0.362248,0.753693,0.730581,0.71694,0.781407,0.848739,0.909067,0.889291,0.869431,0.842052,0.924167,0.905418,0.899089,0.855282,0.873632,0.795634,0.827613,0.845702,0.810866,0.862786,0.882836,0.900559,0.93448,0.920632,0.914807,0.903296,0.867763,0.855893,0.835367,0.818506,0.796718,0.843831,0.858817,0.870792,0.902986,0.882083,0.925118,0.908771,0.891511,0.876381,0.856992,0.831959,0.808493,0.784376,0.744996,0.722111,0.701019,0.66539,0.681243,0.650678,0.635586,0.67976,0.664136,0.572669,0.645728,0.60385,0.588795,0.624105,0.552582,0.533208,0.514047,0.495175,0.480232,0.548604,0.572372,0.605401,0.586811,0.685235,0.67018,0.655126,0.640071,0.625245,0.699719,0.723718,0.78115,0.766095,0.751041,0.740434,0.803389,0.827112,0.84171,0.889012,0.907858,0.922913,0.908497,0.876039,0.8944,0.785598,0.863151,0.833042,0.817988,0.847983,0.801679,0.753094,0.722985,0.701616,0.766438,0.676385,0.737629,0.662349,0.643949,0.552026,0.448926,0.242497,0.37639,0.358599,0.343544,0.32849,0.313435,0.298381,0.283327,0.268272,0.253218,0.229039,0.213985,0.183876,0.168821,0.198816,0.152541,0.074693,0.133923,0.118868,0.10435,0.089373,0.062072,0.107594,0.095034,0.079661,0.055192,0.040813,0.127699,0.148179,0.234057,0.197106,0.247606,0.294275,0.275311,0.375934,0.36088,0.34854,0.33328,0.315945,0.300662,0.393156,0.422922,0.451936,0.406773,0.472749,0.437703,0.53063,0.515644,0.50059,0.490804,0.551178,0.57073,0.580173,0.60166,0.626386,0.615893,0.669268,0.648739,0.697461,0.715344,0.680217,0.729486,0.740663,0.763865,0.777386,0.832586,0.847771,0.868808,0.895134,0.879878,0.9188,0.947572,0.952451,0.959636,0.975334,0.97608,0.963438,0.945722,0.932858,0.917101,0.889215,0.856935,0.87175,0.905075,0.881673,0.845448,0.863881,0.78919,0.773281,0.749102,0.730398,0.719449,0.669854,0.697735,0.505722,0.627754,0.6127,0.597645,0.582591,0.567536,0.552482,0.537427,0.522373,0.648192,0.367666,0.490896,0.475841,0.460787,0.430678,0.415623,0.385514,0.445761,0.400341,0.353124,0.338002,0.246238,0.323016,0.307961,0.292907,0.277852,0.262798,0.20737,0.226758,0.173155,0.191973,0.126966,0.159013,0.144415,0.112709,0.090578,0.072108,0.049615,0.026717,0.008821,0.0009,0.0009,0.002082,0.00202,0.001149,0,0,0,0,0,0,0,0,0.00034,0.002269,0.001398,0.001087,0.001958,0.004695,0.002642,0.001398,0.001398,0.001584,0.002517,0.004757,0.002829,0.002082,0.001771,0.001398,0.001895,0.002393,0.004073,0.005255,0.006188,0.006188,0.007121,0.007432,0.008054,0.009796,0.012098,0.015084"
