type,"filter"
name,"Baader Neodymiun Skyglow"
channel,"PAN"
wavelength,"314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474,475,476,477,478,479,480,481,482,483,484,485,486,487,488,489,490,491,492,493,494,495,496,497,498,499,500,501,502,503,504,505,506,507,508,509,510,511,512,513,514,515,516,517,518,519,520,521,522,523,524,525,526,527,528,529,530,531,532,533,534,535,536,537,538,539,540,541,542,543,544,545,546,547,548,549,550,551,552,553,554,555,556,557,558,559,560,561,562,563,564,565,566,567,568,569,570,571,572,573,574,575,576,577,578,579,580,581,582,583,584,585,586,587,588,589,590,591,592,593,594,595,596,597,598,599,600,601,602,603,604,605,606,607,608,609,610,611,612,613,614,615,616,617,618,619,620,621,622,623,624,625,626,627,628,629,630,631,632,633,634,635,636,637,638,639,640,641,642,643,644,645,646,647,648,649,650,651,652,653,654,655,656,657,658,659,660,661,662,663,664,665,666,667,668,669,670,671,672,673,674,675,676,677,678,679,680,681,682,683,684,685,686,687,688,689,690,691,692,693,694,695,696,697,698,699,700,701,702,703,704,705,706,707,708,709,710,711,712,713,714,715,716,717,718,719,720,721,722,723,724,725,726,727,728,729,730,731,732,733,734,735,736,737,738,739,740,741,742,743,744,745,746,747,748,749,750,751,752,753,754,755,756,757,758,759,760,761,762,763,764,765,766,767,768,769,770,771,772,773,774,775,776,777,778,779,780,781,782,783,784,785,786,787,788,789,790,791,792,793,794,795"
transmission,"0.016,0.016,0.015,0.014,0.014,0.013,0.013,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.011,0.011,0.01,0.009,0.009,0.008,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.005,0.004,0.003,0.005,0.007,0.01,0.016,0.027,0.051,0.13,0.209,0.275,0.341,0.44,0.548,0.656,0.742,0.804,0.866,0.918,0.921,0.924,0.927,0.902,0.873,0.86,0.854,0.848,0.842,0.846,0.877,0.908,0.939,0.93,0.92,0.909,0.893,0.873,0.86,0.856,0.852,0.848,0.844,0.828,0.811,0.795,0.801,0.815,0.828,0.853,0.893,0.924,0.93,0.935,0.94,0.938,0.936,0.934,0.931,0.927,0.92,0.916,0.916,0.916,0.917,0.917,0.917,0.898,0.875,0.865,0.862,0.86,0.857,0.856,0.864,0.872,0.88,0.88,0.878,0.877,0.869,0.856,0.836,0.808,0.786,0.791,0.796,0.801,0.806,0.811,0.818,0.825,0.833,0.839,0.842,0.846,0.849,0.853,0.856,0.86,0.878,0.9,0.917,0.93,0.937,0.936,0.934,0.933,0.932,0.931,0.909,0.884,0.867,0.855,0.844,0.832,0.82,0.809,0.798,0.788,0.777,0.75,0.72,0.694,0.668,0.643,0.631,0.643,0.655,0.667,0.679,0.69,0.683,0.672,0.661,0.651,0.631,0.601,0.57,0.539,0.509,0.478,0.499,0.524,0.549,0.574,0.599,0.629,0.664,0.699,0.735,0.775,0.816,0.856,0.875,0.889,0.903,0.911,0.913,0.915,0.917,0.92,0.922,0.923,0.925,0.927,0.929,0.931,0.931,0.929,0.927,0.925,0.923,0.922,0.905,0.888,0.872,0.847,0.818,0.79,0.728,0.612,0.495,0.377,0.23,0.084,0.077,0.09,0.103,0.116,0.13,0.132,0.117,0.102,0.087,0.072,0.057,0.041,0.049,0.064,0.08,0.095,0.113,0.137,0.162,0.186,0.21,0.234,0.332,0.444,0.494,0.511,0.527,0.544,0.56,0.58,0.617,0.655,0.684,0.712,0.74,0.762,0.782,0.801,0.82,0.841,0.869,0.897,0.925,0.943,0.959,0.961,0.958,0.954,0.952,0.952,0.952,0.951,0.951,0.951,0.951,0.951,0.953,0.956,0.959,0.962,0.964,0.966,0.969,0.971,0.973,0.974,0.976,0.978,0.978,0.979,0.979,0.979,0.979,0.979,0.979,0.98,0.979,0.978,0.978,0.977,0.976,0.976,0.975,0.973,0.97,0.968,0.966,0.964,0.962,0.96,0.958,0.955,0.951,0.949,0.947,0.945,0.943,0.941,0.939,0.937,0.935,0.933,0.93,0.922,0.905,0.889,0.872,0.854,0.856,0.859,0.861,0.866,0.872,0.878,0.888,0.905,0.92,0.919,0.919,0.918,0.917,0.905,0.888,0.843,0.773,0.716,0.686,0.65,0.575,0.5,0.434,0.37,0.319,0.273,0.227,0.184,0.143,0.105,0.079,0.054,0.046,0.039,0.035,0.031,0.028,0.026,0.023,0.021,0.019,0.018,0.016,0.014,0.012,0.009,0.008,0.008,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.004,0.004,0.004,0.003,0.003,0.003"
