type,"filter"
name,"Sony IMX585"
channel,"Q"
wavelength,"400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740,750,760,770,780,790,800,810,820,830,840,850,860,870,880,890,900,910,920,930,940,950,960,970,980,990,1000"
transmission,"0.913,0.917,0.913,0.914,0.913,0.911,0.906,0.905,0.908,0.912,0.911,0.909,0.908,0.903,0.901,0.898,0.888,0.885,0.885,0.884,0.873,0.863,0.855,0.841,0.827,0.814,0.803,0.789,0.773,0.757,0.749,0.739,0.722,0.705,0.685,0.667,0.657,0.637,0.613,0.588,0.564,0.539,0.523,0.507,0.491,0.477,0.462,0.437,0.413,0.39,0.371,0.353,0.339,0.325,0.309,0.292,0.265,0.239,0.213,0.186,0.159"
